kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
できます,できます,dekimasu,be able to,"[""can do"", ""is possible"", ""capable of""]","[""can"", ""is able to"", ""manage to""]",Verb (Potential),3,"[""JLPT N5"", ""ability"", ""polite""]"
あらいます,あらいます,araimasu,wash,"[""wash"", ""clean"", ""rinse""]","[""clean"", ""wash off"", ""launder""]",Verb (Godan),4,"[""JLPT N5"", ""daily life"", ""action""]"
ひきます,ひきます,hikimasu,play (instrument),"[""play"", ""perform (instrument)""]","[""perform"", ""play music""]",Verb (Godan),5,"[""JLPT N5"", ""music"", ""arts""]"
うたいます,うたいます,utaimasu,sing,"[""sing"", ""chant""]","[""vocalize"", ""sing a song""]",Verb (Godan),4,"[""JLPT N5"", ""music"", ""arts""]"
あつめます,あつめます,atsumemasu,collect,"[""collect"", ""gather"", ""assemble""]","[""accumulate"", ""pick up"", ""bring together""]",Verb (Ichidan),5,"[""JLPT N5"", ""action""]"
すてます,すてます,sutemasu,throw away,"[""throw away"", ""discard"", ""dispose of""]","[""get rid of"", ""dump"", ""toss""]",Verb (Ichidan),5,"[""JLPT N5"", ""daily life""]"
かえます,かえます,kaemasu,exchange,"[""exchange"", ""change"", ""replace""]","[""swap"", ""switch"", ""convert""]",Verb (Ichidan),5,"[""JLPT N5"", ""action""]"
うんてんします,うんてんします,unten shimasu,drive,"[""drive"", ""operate (vehicle)""]","[""operate"", ""pilot""]",Verb (Suru),4,"[""JLPT N5"", ""transportation""]"
よやくします,よやくします,yoyaku shimasu,reserve,"[""reserve"", ""book"", ""make reservation""]","[""schedule"", ""pre-book""]",Verb (Suru),6,"[""JLPT N5"", ""travel"", ""service""]"
けんがくします,けんがくします,kengaku shimasu,visit for study,"[""visit for study"", ""tour for learning"", ""observe""]","[""study tour"", ""educational visit""]",Verb (Suru),7,"[""JLPT N4"", ""education""]"
ピアノ,ピアノ,piano,piano,"[""piano""]","[""keyboard instrument""]",Noun,2,"[""JLPT N5"", ""music""]"
ーメートル,ーめーとる,-mētoru,meter,"[""meter"", ""metre""]","[""unit of length""]",Counter,3,"[""JLPT N5"", ""measurement""]"
こくさい,こくさい,kokusai,international,"[""international"", ""global""]","[""worldwide"", ""multinational""]",Na-Adjective,5,"[""JLPT N5"", ""common""]"
げんきん,げんきん,genkin,cash,"[""cash"", ""cash payment""]","[""money in hand"", ""physical money""]",Noun,5,"[""JLPT N5"", ""finance"", ""money""]"
しゅみ,しゅみ,shumi,hobby,"[""hobby"", ""interest"", ""pastime""]","[""leisure activity"", ""favorite thing""]",Noun,4,"[""JLPT N5"", ""lifestyle""]"
にっき,にっき,nikki,diary,"[""diary"", ""journal""]","[""daily record"", ""logbook""]",Noun,5,"[""JLPT N5"", ""writing""]"
[お]いのり,[お]いのり,[o]inori,prayer,"[""prayer""]","[""supplication"", ""devotion""]",Noun,6,"[""JLPT N4"", ""religion""]"
かちょう,かちょう,kachō,section chief,"[""section chief"", ""head of section""]","[""supervisor"", ""section head""]",Noun,7,"[""JLPT N4"", ""business"", ""title""]"
ぶちょう,ぶちょう,buchō,department chief,"[""department chief"", ""department head""]","[""division head"", ""manager""]",Noun,7,"[""JLPT N4"", ""business"", ""title""]"
しゃちょう,しゃちょう,shachō,president,"[""company president"", ""CEO""]","[""boss"", ""director"", ""head of company""]",Noun,6,"[""JLPT N4"", ""business"", ""title""]"
動物,どうぶつ,dōbutsu,animal,"[""animal""]","[""creature"", ""beast""]",Noun,3,"[""JLPT N5"", ""basic"", ""nature""]"
馬,うま,uma,horse,"[""horse""]","[""steed"", ""equine""]",Noun,4,"[""JLPT N5"", ""animal""]"
へえ,へえ,hē,Really!,"[""Really!"", ""Wow!"", ""Oh!""]","[""Huh?"", ""Interesting!""]",Interjection,6,"[""JLPT N4"", ""spoken"", ""emotion""]"
それは おもしろいですね,それは おもしろいですね,Sore wa omoshiroi desu ne,That must be interesting,"[""That must be interesting"", ""That sounds interesting""]","[""How fascinating"", ""That's cool""]",Phrase,4,"[""JLPT N5"", ""expression""]"
なかなか,なかなか,nakanaka,not easily,"[""quite"", ""rather"", ""not easily""]","[""pretty (good)"", ""surprisingly""]",Adverb,6,"[""JLPT N4"", ""adverb""]"
牧場,ぼくじょう,bokujō,ranch,"[""ranch"", ""stock farm"", ""pasture""]","[""farm"", ""meadow"", ""pastoral land""]",Noun,7,"[""JLPT N4"", ""nature"", ""place""]"
ほんとうですか,ほんとうですか,hontō desu ka,Really?,"[""Really?"", ""Is that true?""]","[""For real?"", ""Seriously?""]",Phrase,3,"[""JLPT N5"", ""expression"", ""question""]"
ぜひ,ぜひ,zehi,by all means,"[""by all means"", ""definitely"", ""please""]","[""certainly"", ""without fail""]",Adverb,5,"[""JLPT N4"", ""polite"", ""request""]"
ビートルズ,ビートルズ,Bītoruzu,The Beatles,"[""The Beatles""]","[""British rock band""]",Proper Noun,2,"[""culture"", ""music"", ""proper name""]"
